No.	Atomic Weight	Name	Sym.	M.P.(°C)	 B.P.(°C)	Density(g/cm3)	Earth crust (%)	Discovery(Year)	Group	Electron configuration	Ionization energy (eV)
58		140.116	Cerium	Ce	795.0	3,257.00	6.77		1803	101	[Xe] 4f1 5d1 6s2	5.5387
59		140.9077	Praseodymium	Pr	935.0	3,127.00	6.77		1885	101	[Xe] 4f3 6s2	5.473
60		144.24	Neodymium	Nd	1,010.00	3,127.00	7.01		1885	101	[Xe] 4f4 6s2	5.525
61	*	145.0	Promethium	Pm	1,100.00	3,000.00	7.3		1945	101	[Xe] 4f5 6s2	5.582
62		150.36	Samarium	Sm	1,072.00	1,900.00	7.52		1879	101	[Xe] 4f6 6s2	5.6437
63		151.964	Europium	Eu	822.0	1,597.00	5.24		1901	101	[Xe] 4f7 6s2	5.6704
64		157.25	Gadolinium	Gd	1,311.00	3,233.00	7.9		1880	101	[Xe] 4f7 5d1 6s2	6.1501
65		158.9253	Terbium	Tb	1,360.00	3,041.00	8.23		1843	101	[Xe] 4f9 6s2	5.8638
66		162.5	Dysprosium	Dy	1,412.00	2,562.00	8.55		1886	101	[Xe] 4f10 6s2	5.9389
67		164.9303	Holmium	Ho	1,470.00	2,720.00	8.8		1867	101	[Xe] 4f11 6s2	6.0215
68		167.259	Erbium	Er	1,522.00	2,510.00	9.07		1842	101	[Xe] 4f12 6s2	6.1077
69		168.9342	Thulium	Tm	1,545.00	1,727.00	9.32		1879	101	[Xe] 4f13 6s2	6.1843
70		173.04	Ytterbium	Yb	824.0	1,466.00	6.9		1878	101	[Xe] 4f14 6s2	6.2542
71		174.967	Lutetium	Lu	1,656.00	3,315.00	9.84		1907	101	[Xe] 4f14 5d1 6s2	5.4259
72		178.49	Hafnium	Hf	2,150.00	5,400.00	13.31		1923	4	[Xe] 4f14 5d2 6s2	6.8251
73		180.9479	Tantalum	Ta	2,996.00	5,425.00	16.65		1802	5	[Xe] 4f14 5d3 6s2	7.5496
74		183.84	Tungsten	W	3,410.00	5,660.00	19.35		1783	6	[Xe] 4f14 5d4 6s2	7.864
75		186.207	Rhenium	Re	3,180.00	5,627.00	21.04		1925	7	[Xe] 4f14 5d5 6s2	7.8335
76		190.23	Osmium	Os	3,045.00	5,027.00	22.6		1803	8	[Xe] 4f14 5d6 6s2	8.4382
77		192.217	Iridium	Ir	2,410.00	4,527.00	22.4		1803	9	[Xe] 4f14 5d7 6s2	8.967
78		195.078	Platinum	Pt	1,772.00	3,827.00	21.45		1735	10	[Xe] 4f14 5d9 6s1	8.9587
79		196.9665	Gold	Au	1,064.00	2,807.00	19.32		ancient	11	[Xe] 4f14 5d10 6s1	9.2255
80		200.59	Mercury	Hg	-39.0	357.0	13.55		ancient	12	[Xe] 4f14 5d10 6s2	10.4375
81		204.3833	Thallium	Tl	303.0	1,457.00	11.85		1861	13	[Xe] 4f14 5d10 6s2 6p1	6.1082
82		207.2	Lead	Pb	327.0	1,740.00	11.35		ancient	14	[Xe] 4f14 5d10 6s2 6p2	7.4167
83		208.9804	Bismuth	Bi	271.0	1,560.00	9.75		ancient	15	[Xe] 4f14 5d10 6s2 6p3	7.2856
84	*	209.0	Polonium	Po	254.0	962.0	9.3		1898	16	[Xe] 4f14 5d10 6s2 6p4	8.417
85	*	210.0	Astatine	At	302.0	337.0			1940	17	[Xe] 4f14 5d10 6s2 6p5	9.3
86	*	222.0	Radon	Rn	-71.0	-62.0	9.73		1900	18	[Xe] 4f14 5d10 6s2 6p6	10.7485
87	*	223.0	Francium	Fr	27.0	677.0			1939	1	[Rn] 7s1	4.0727
88	*	226.0	Radium	Ra	700.0	1,737.00	5.5		1898	2	[Rn] 7s2	5.2784
89	*	227.0	Actinium	Ac	1,050.00	3,200.00	10.07		1899	3	[Rn] 6d1 7s2	5.17
90		232.0381	Thorium	Th	1,750.00	4,790.00	11.72		1829	102	[Rn] 6d2 7s2	6.3067
91		231.0359	Protactinium	Pa	1,568.00		15.4		1913	102	[Rn] 5f2 6d1 7s2	5.89
92		238.0289	Uranium	U	1,132.00	3,818.00	18.95		1789	102	[Rn] 5f3 6d1 7s2	6.1941
93	*	237.0	Neptunium	Np	640.0	3,902.00	20.2		1940	102	[Rn] 5f4 6d1 7s2	6.2657
94	*	244.0	Plutonium	Pu	640.0	3,235.00	19.84		1940	102	[Rn] 5f6 7s2	6.0262
95	*	243.0	Americium	Am	994.0	2,607.00	13.67		1944	102	[Rn] 5f7 7s2	5.9738
96	*	247.0	Curium	Cm	1,340.00		13.5		1944	102		5.9915
97	*	247.0	Berkelium	Bk	986.0		14.78		1949	102		6.1979
98	*	251.0	Californium	Cf	900.0		15.1		1950	102		6.2817
99	*	252.0	Einsteinium	Es	860.0				1952	102		6.42
100	*	257.0	Fermium	Fm	1,527.00				1952	102		6.5
101	*	258.0	Mendelevium	Md					1955	102		6.58
102	*	259.0	Nobelium	No	827.0				1958	102		6.65
103	*	262.0	Lawrencium	Lr	1,627.00				1961	102		4.9
104	*	261.0	Rutherfordium	Rf					1964	4		
105	*	262.0	Dubnium	Db					1967	5		
106	*	266.0	Seaborgium	Sg					1974	6		
107	*	264.0	Bohrium	Bh					1981	7		
108	*	277.0	Hassium	Hs					1984	8		
109	*	268.0	Meitnerium	Mt					1982	9
